sentence,profane
bobo ka ba,1
bwiset ka bakit anong mali saken,1
pucha may ko pa pala sinimulan yung southeast asia tapos ngayon ko pa lang ata matatapos tapos di pa sure,1
haha gago nakalimutan ko na parehas pala username ng tweet ko at ang instagram ko,1
lutong naman ng ulol ni nick tangina,1
pangit muna bobo kapa haha parang walang anak ah lakas ng loob mo boy,1
puta ang panget ko gumanap tangina mo paul,1
pakshet hindi nanaman ako makatulog,1
tangina may finollow nga ako ngayong gabi ikaw yun,1
bobo ni wella magluto bobo ka wella haha,1
putangina siya na nga naunang nanggulo sakin ambagal pang magreply tapos ang tipid pa pakyu kinnam di mo alam kung gano kahalaga yung oras ko na sinasayang mo lang,1
sobrang pangit ng gising puta,1
putanginang pinsan toh pakyu animal tangina mo kunin kana sana ni satanas hayup,1
di ako mag aadjust sa ugali nyo pakyu,1
pakshet bobo wrong account pero ayos lang,1
manahimik kayo mga pucha may di pa nakabasa dito oh,1
ang pogi pakshet,1
paano kung bilihin niyo muna ito para sa akin tapos babayaran ko sa june pakshet na ebbg ito eh,1
yan ang naituro nang fake news sayo kawawa ka naman parang sinabi mo na may alam pa albolaryo sa doctor kawawa ka sa paniniwala mo hayaan mong talo kami importante di kami tanga tulad mo,1
akala ko vacation na haha chariz gago kasi bakit wala pang gawain,1
isa ka pa tangina mo,1
inabot ng bago magreply pakyu ka tangina mo,1
simula march hanggang ngayon tangina bali ang bilis kong magalit masuntok agad haha ayaw ko ng ganito,1
option gumawa ng sarili mong kape sis i dont love people making random small talk with me either pero tangina tao kaharap mo hindi halaman o makina sabihin mo na lang na kupal ka and call it a day,1
gago yung lead recitation yung attendance haha pakshet mali mali pa sinasabi ko,1
putangina ka din,1
kupal kayo mga puta,1
kai what if iaccept mo ako sa private mo pakyu,1
tarantado na pala ako ha,1
memories bring back memories bring pakyu haha,1
daming kupal ngayon haha,1
isa pa yan si mona tarantado rin iyan haha,1
ano yung pakshet,1
lord hindi ko maalala na nag sign up para sa nakaka bwiset na kuya,1
haha putangina naview ko nanaman yung featured ni mochi na kakaupload palang just now sana wala pong way para malaman sino nagviview ng featured thanks facebook,1
bobo kasi kayo isa sa rason bakit nagmahal ang bilihin kasi tinataas din ang tax para mabayaran ang trillion utang na ibinilin ng mga unithieves di lang sa war ng russia gunggong antay ako sa bente pesos na bigas,1
tanga magresearch kayo,1
tangina si ray lang yan ah,1
ang kupal mo hayop ka,1
dinodogshow na naman ako ni kline at shelsea pucha talaga kayo,1
punyeta talaga kayo pldt hanggang ngayon wala paring net,1
okay lang yun ang mahalaga tanga ka,1
bwiset naman ah,1
azi tarantado ka sarap mo saksakin sa tagiliran,1
bwiset bakit ako naiiyak dahil sa rerecord ng flags,1
nakakainggit naman yung mga grumagraduate bakit kasi sa october pa kami bwiset,1
tangina ang sakit ng ulo ko,1
pakyu ka rin,1
sakit na ulo ko punyeta,1
malay ko ba sorry bobo lang,1
ulol yun yung binigyan ko ng bondpaper na babae sa likod ko last week mabait kasi ako mana sayo haha,1
parang tanga ka jan lodi,1
maganda ka lang pero bobo ka,1
putangina mo bio akala ko tapos na tayo nung grade eight ako,1
gago nag amin na agad siya haha,1
pakshet ang gaganda at pogi niyo,1
kung may problema ka eh sa direct message ka tanga sa sayout ka lang magaling eh,1
ulol bobo ka,1
parang sign na din para bilhin ko yung pc pucha haha,1
bro ka ng bro tangina mo mas tanga ka pa nga sakin lalo na kapag lutang ka rin,1
haha balik sa dating spot dahil kupal ang new generation mga bobo naman,1
abay tangina mo wag sa shared post ko beh,1
putangina talaga gago tangina naman bumagsak pa ako,1
eto nanaman puso ko parang tanga haha,1
ang hirap maging bobo,1
tangina mo gago putangina ka,1
bobo kaba pa flex pa kayo sa sales niyo eh sa overall lang naman kayo nag million sales haha,1
kapatid ko talaga sumusubok ng pasensya ko punyeta,1
pucha every month talaga sabay sabay mga bayaran,1
gago na iimagine ko pag seventeen na papunta dito before gustong gusto ko pumunta din sa airport pero ngayon hahayaan ko nalang sila,1
pascroll scroll lang ako pucha di pa pala ako nagrereview,1
kung di mo gusto yung kanta o yung chorus wag mong sasabihin na pangit tarantado ka pala eh,1
di rin matiis ni tanga,1
gago bakit ba dumaan sa news feed ko yung video ni ser geybin,1
pakyu kayong lahat nginig bituka ko,1
nagsisisi na naman akong nakipag swap ako ng oras napaka aga putangina,1
punyeta ka tangina mo kainin mo ng buo yung picture,1
pakshet ka din reynold,1
tangina mo wag mo na isend sakin convo niyo gago nang iinggit pa ang puta,1
sarap ng higa sa court puta haha,1
lakas makasabi ng move on doon ka sa magmove on sa impyerno tanga nangloloko ka gago,1
pakshet naman,1
tama ka nuh pakyu haha,1
pero teka lang gago ang hot ni changbin so much sa music video ugh,1
tarantado si raf inaway yung pabida eh,1
putangina naiiyak na ako ang pangit ko na nga ang dami ko pang gawain,1
bobo mo kak,1
ayoko na gago haha,1
mahal na mahal puta,1
putangina mahihimatay siguro ko pag ganito,1
bakit mo nagawa sa pinsan ko yun tarantado ka,1
alam mo yung mainit yung ayaw tumuloy ng ulan napaka alinsangan pucha,1
puta ka jae haha bwiset,1
bobo kaa,1
imagine buying extras para mabenta ng overpriced tapos yung iba bibili hindi naman fan pag tinanong mo sino members si jaehyun lang o taeyong isasagot sayo ulol magsilayas kayo bwiset,1
kupal jerome napahanap tuloy ako ng mga requirements ko nung first year akala mo talaga ngayon ako gagraduate ending may nakita lang akong love letter haha,1
alam ko gago ka,1
wala ulol haha,1
putangina ka gago,1
grabe kung nakabukas lang comments ni yoongi sa instagram baka tumahol nako eh kasi pakshet ang pogi niya,1
gusto ko ng ipad pucha naman kahit second hand oh,1
haha kung public train sana yun pucha sarap,1
gago sure na ba kayo diyan,1
tarantado talaga pag oras ng klase eh,1
wala na kong pera gago,1
bwiset ka aki,1
bakit parang ang bobo ko po ngayon,1
bobo mo naman,1
oo na tanga,1
pakshet ang pogi talaga ni wonu goggles,1
punyeta sana pala di ko nalang inupdate twitter ko,1
haha tangina niyong lahat,1
shot puno lasing si kupal haha,1
ayoko manghimasok bahala kayo tanga haha pagkatapos mo saluhin lahat ng tweet ko do you think na tutulungan kita para malaman dummy account ng boyfriend mo finollow kasi ako sa second account ko eh haha basura,1
tanga ayan ba sinasabi niyong mag bestfriend at hindi mag jowa iuntog ko kaya kayo,1
tangina balikan mo na kasi ako naiingit na ako sa kanila,1
itong pinsan ko maka reklamo na maliit yelo tarantado ka baka gusto mo sapukin kita zonrox putangina mo,1
at proud ka pang kupal ka kapal ng mukha mo ha mukha ka na ngang ipis lakas mo manggago ulol,1
tarantado anong klaseng laruan yun,1
kakain muna ako bago ko sagutan tong math na ito bwiset,1
wawa try harder kakampinkong salot hanggang sa mamalimos na lang kayo bobo,1
pero putangina bakit naman umorder ako trenta piraso,1
ang bobo nila kausap lahat,1
buhay na buhay sa chismis haha tangina talaga ng mga tao sa compound,1
yung crush ko punyeta girlfriend na ng kaibigan ko,1
ikaw nga emoji warrior at tarantado,1
pakyu sa mga umubos nung piattos ko,1
pucha beh iba na nararamdaman ko sayo ah haha,1
putangina mo wala rin siyang pake sayo pakyu,1
ang tamis pucha,1
isang troll na naman ang natagpuan sa twittter at ikaw yun tanga ka,1
done na puta need lang pala wag bilisan,1
punyeta kahihiyan pa ata ako dito sa valo ah,1
panay kaartehan bwiset ka junard,1
saktong sakto punyeta haha,1
gago para tayong magnnew year countdown bente na si belle,1
chinggay nakaka ulol ka na po,1
hala putangina si justin nagsuka sa paa ko bwiset,1
sabagay bobo na malibog si bongbong as in bobo haha,1
aya ng aya mga ulol ay takot naman sa alak pag andon na magccp lang haha,1
kupal ring at its finest pero hindi namin siya binili magkasama tf,1
kung anong lapit ng terminal ng bus sa bahay sa infanta siya namang layo sa maynila puta legarda to project,1
kung hindi mo maisend yung sets pc sakin refund mo ko pakyu bitch,1
puta ang hina ng wifi,1
tangina niyo ano kailangan graduate para matanggap sa trabaho yung isa nga diyan presidente pa mga pakyu kayo,1
yes haha pucha,1
ulol tangina mo wala akong paki kahit sino ka pa,1
tangina mong gago ka edi waw ikaw na ikaw na punyeta ka hayop kang gagong puta,1
haha sinabihan ako ni pwinsesh may space na daw sali ako gago sasali naman talaga ako eh,1
tangina wild haha,1
kinagwapo mo yan sayo talaga nanggaling eh diba dapat role mo yon hambog kang puta ka,1
limang copies lahat ginawa ko simula kahapon pa tapos ngayon lang lahat natapos dahil lang sa pakshet na pagpapa notarize at pag print ng picture sa photo paper,1
tangina niyo try niyong landiin mag aabugado ako madali lang icoverup kung nasaan katawan niyo,1
tarantado sandali akala ko tapos na,1
tanga bobo lang ako kung naging type kita kadiri,1
punyeta hiro akin ka nalang i swear aalagaan kita hot niya talaga,1
tangina mo kasi eh,1
bwiset isa ka pa joshua,1
tanga ka eh,1
mga pakshet kayo wala kayo karapatan,1
sakit sa eyes yung japanese machine translate putangina,1
novdec sana dream con or kaya feb haha puta kapal ng mukha mag demand kala mo walang acads,1
aray putangina po,1
sang ayon ako na bobo siya marami kasi evidence at siya mismo ang nagkalat kay bbm sa loob nang walang evidence kaya nga nanalo marunong sa math,1
gago tawang tawa naman ako dito napakagago haha,1
flexing the girl without knowing na nag blooming zeb nung nakawala sa kamay mong kupal ka,1
baka tanga ka,1
haha puta kayo,1
tangina niyo nag ibang bansa nanaman yung mga pinks bago pa maannounce yung comeback pakyu ka talaga hayop ka tangina mo,1
kaya nga puta karat tapos sakit pa mangagat,1
gago may maganda dito,1
ano ba ito tangina,1
tarantado ka ilabas mo na ulo mo wag lang si jaehyuk pag yan nahulog gago ka,1
tarantado ba kayo,1
napaka baboy mong nilalang putangina ka,1
ekis sa mga mangiiwan mga pakyu kayo ayoko na,1
bilis mo pakyu haha,1
six years tayong dodogshowin ng mga kampon ng administrasyon pucha naman oh,1
ikaw ang kulang sa aruga hindi talaga tayo magka level tanga ka eh imagine nag aral hanggang college tapos sa tiktok video ka lang maniniwala ang tanga tanga mo,1
haha ok natapos din kupal,1
tangina gheeno,1
bwiset tong pinsan ko porket di ako makatayo sinisilip ako at tinatawanan while nag ccr kainis,1
mag sisipag pa naman sana ako ngayon kaso pakshet itong laptop,1
masasakalin kita talaga sa lunes puta ka,1
tangina bakit ako,1
ulol hindi na tungkol sa kaniya ha,1
mood pakyu kayong lahat,1
kasalanan mo ito gago,1
tatlong oras kitang kasama punyeta ka tatlong oras din yung pag papasensya ko sayo,1
puta yung flower,1
sana di mag delete ng views yung youtube kasi magagalit ako mga punyeta sila,1
ang galing ni miner kaso pucha nakatulog ako kakanood,1
tarantado buhay na nga eh haha,1
nakakasira talaga ng araw pag may mga kupal na clients bwiset,1
hoy ano ba kasi yung malakas na parang sumabog sa labas kanina dito sa malolos tas may mga ambulance na sa labas gago akala ko ba kulog lang yon,1
puta naman haha,1
excited si justine puta,1
congrats pa din pero kadikit na ng kupal couple ang panloloko nila,1
huling dalawang linggo na lang yung the broken marriage vow tangina wag muna,1
gago tangina yung panaginip ko pakshet,1
humihilab sikmura ko punyeta,1
ulol tangina niyo,1
tanga tapos na,1
sarap mo pisilin kupal yiee haha,1
putangina mong gago ka sasakalin kitang ulol tarantadong hayop punyetang gago,1
tarantado ka kung sino man yun,1
mga tarantado na driver,1
sa ex ko sana naghihirap ka ngayon haha deserve mong puta ka,1
nakakairita si jill bwiset,1
study well daw ulol samahan mo ako dito magsstudy well tayong dalawa,1
ayaw ko na magbasa ng angst tangina mo cyrus pakyu,1
hays puta nagloloading pa utak ko,1
ulol magsama kayo parehas kayong idk basta,1
gago haha ulol na naman ako sa au character tangina hari choi,1
mula nung lumipat ka naging kupal ka,1
joke lang yan tanga strong independent ito noh tsaka hindi ako umiiyak gago ka ba gwapong gwapo ko tapos iiyak ako,1
ang lamig lamig putangina,1
ulol ka beh wag mo kaming pinaglololoko,1
haha bwiset ang kalat,1
tanga sobrang demonyo ka lang talaga,1
gusto ko lang naman matulog pucha kaso maingay,1
kupal na mga pulis,1
tangina mo gago,1
sayang talaga bobo tanga gago ko,1
tangina mo cy gago ka,1
hoy kanina ka pa daan nang daan sa timeline ko di ko na lang pinapansin kanina pa ako naiinggit punyeta,1
uwi na nanay ko punyeta kayo,1
tanga ako sobra,1
tangina nalulungkot pa rin ako sa last part nung padaan ni gmac pari haha,1
chat palang yon nanginginig na kamay ko bwiset ka talaga jim ashley,1
ulol jason kala mo matangkad ka,1
nasa araneta na si louis tomlinson pakshet sana makakuha na ako this time,1
kaya siguro ang bobo ko,1
gusto ko rin maranasan maging chismosa kaso ako palagi topic nila punyeta,1
putangina niyong lahat gago punyeta,1
mas tanga at bobo ang nanay mo kasi nag kaanak siya na kagaya niyang boba sabihin mo sa mama mo kamo ma wag kang bobo kasi sa nagiging bobo di na ako kagaya mo,1
ang kapal mo leche ka pakyu gago tangina mo fuck off haha,1
tapos sasabihin niya kasalanan ko edi tangina niya kala niya ka ang gwapo niya,1
punyeta hindi ko mapinned yung nsd ko,1
bakit ang mahal mag grocery pakshet,1
puta grabe siya,1
pucha ang sarap,1
pogi ni hoon gago,1
kupal ka dapat sa iyo minamartilyo sa mukha,1
oo gago alangan naman i ghost kita,1
ang ganda ni eunchae pakshet,1
sobrang landi niya mas malandi pa yan kay andrea dami mong lalaki sayang lang kapogihan ni seth sana pag katapos ng project niyo ipartner na si seth sa iba wala siyang mapapala sa francine na yan landi masyado punyeta,1
ayoko ng gantong pakiramdam puta,1
gago seryoso ako,1
tangina yung kaba ko ano bah,1
ako nalang gago lagi,1
kapal ng mukha mo gago,1
pakireport yung bwiset na si yin,1
tanga huwag kang tatalon mataba ka tatalbog ka lang,1
nakakadala pababa eh puta,1
hoy parang tanga hindi ba dapat masaya tayo bakit nagpapaiyak kayo,1
haha hindi ko kinaya yung pang barangay daw tira ni pins haha pucha,1
ulol ka,1
ulol kambing masamang kambing ka,1
alam kong ang tanga ko sa part na yon pero go sige,1
haha putangina microsoft word,1
tangina naka ban pa din,1
sandali nga putangina ang lalabo,1
gago kakagaling lang ng lalamunan ko masakit na naman candy at alak pa,1
punyeta yung binilhan ko ng palamig hindi man lang sinabi na walang yelo kaya pala tingin nang tingin sakin ampota,1
ikaw ba ang puta sa putangina,1
puta ayoko na direct message limit na naman ako,1
makatapos lang ako college dahil sa scholar hindi dahil sayo kupal,1
gago di ko naman inexpect pero sige isa kayo pag may pera na ako kaso matagal pa yon haha bookmark ko to ha,1
hindi daw ako scammer ulol gago haha,1
tarantado haha laptrip ang lower niyan beh wag na balakin,1
bobo na ata ako,1
sana magkamanager na ako kasi yung kabog ng dibdib ko dahil puro director ng company namin yung lagi kong kausap medyo nakaka ulol na po,1
putangina baka wala pa ako sa pinas nito,1
nandito ako bilang sugar mom mo tanga ka ba,1
direct message limit nanaman ako dito sa twitter putangina,1
gago ako nanaman nanonood lang ako sa tiktok eh tawang tawa ako,1
badtrip tangina bakit ngayon pa,1
alam niyo putangina niyo naiiyak na ako huwag niyo paglaruan nararamdaman ng lahat i swear nangangatog na ako sa kaba mga puta di ko naman birthday shuta inaano niyo kahinaan ko mga yawa naiiyak na ako gago kayo,1
